delay,vericert,list,hyper,bambu,opt
2mm,9.513,9.656,9.648,6.329,8.406
3mm,9.564,9.639,9.698,6.376,8.599
adi,9.884,9.916,9.888,7.76,9.468
atas,9.493,9.638,9.526,9.458,7.515
bicg,9.361,9.613,9.634,9.744,7.041
cholesky,9.54,10.29,9.575,9.842,9.47
covariance,9.299,9.63,9.524,6.284,8.09
doitgen,9.212,9.543,9.53,9.408,7.877
durbin,9.399,9.634,9.703,9.443,9.618
fdtd-2d,9.343,9.617,9.565,10.062,8.891
floyd-warshall,9.237,9.334,9.577,6.577,7.793
gemm,9.524,9.542,9.532,9.636,8.168
gemver,9.568,9.615,9.63,9.681,8.384
gesummv,9.568,9.536,9.608,9.322,7.588
heat-3d,9.627,9.547,9.563,5.747,8.436
jacobi-1d,8.945,9.07,9.462,4.94,7.576
jacobi-2d,9.199,9.457,9.489,5.712,8.309
lu,9.585,9.69,9.632,9.513,9.575
ludcmp,9.805,9.638,9.728,9.729,9.745
mvt,9.409,9.57,9.54,5.877,7.691
nussinov,9.43,9.53,9.654,9.524,9.24
seidel-2d,9.149,9.506,9.548,5.3,8.421
symm,9.62,9.77,9.73,9.61,7.48
syr2k,9.63,9.685,9.649,9.575,7.939
syrk,9.502,9.544,9.585,9.507,8.867
trisolv,9.175,9.349,9.351,5.913,7.983
trmm,9.238,9.493,9.524,9.621,8.97
median,9.493,9.613,9.577,9.443,8.384
